"Scenario","Africa","East Asia","Eastern Europe and Central Asia","Latin America","North America","Oceania","South Asia","Western and Central Europe","Western Asia"
"Business As Usual",1272,15143,971,4861,4913,957,6514,1481,589
"Business As Usual",1338,13192,1044,4373,4463,1115,8479,1434,792
"Business As Usual",1432,16082,1060,4221,4565,860,6571,1474,765
"Business As Usual",1413,17796,1079,3741,4369,816,7447,1661,767
"Business As Usual",1332,13935,921,4181,4322,983,7867,1784,744
"Business As Usual",1484,16379,957,3752,4085,797,7695,1473,796
"Business As Usual",1334,16028,1003,4160,4237,1009,7203,1226,906
"Business As Usual",1148,16258,1024,5215,4112,942,7166,1301,745
"Business As Usual",1418,14863,1002,4506,3841,869,8860,1597,743
"Business As Usual",1246,15724,972,4166,4356,836,7569,1398,621
"Business As Usual",1350,14629,933,4002,4642,731,7956,1566,713
"Business As Usual",1392,14479,994,4113,4878,1120,7945,1611,711
"Business As Usual",1456,15559,1071,4236,4469,1057,8460,1742,770
"Business As Usual",1282,12902,1027,3824,4988,805,5071,1444,699
"Business As Usual",1393,16280,1089,4266,4502,822,7934,1659,508
"Business As Usual",1086,15390,1094,4870,4304,892,8100,1504,762
"Business As Usual",1309,13564,1006,4353,4795,953,7277,1362,796
"Business As Usual",1310,14092,1020,4732,4684,1067,7346,1675,633
"Business As Usual",1001,13985,1005,5146,5190,786,7031,1625,605
"Business As Usual",1152,13284,962,4402,5022,858,7564,1449,609
"Business As Usual",1316,14381,984,4860,4540,886,7625,1656,602
"Business As Usual",1387,13644,979,4628,4288,916,6868,1479,667
"Business As Usual",1436,14432,1015,3907,4046,802,7711,1458,811
"Business As Usual",1398,15183,988,4350,4789,1037,7616,1655,553
"Business As Usual",1272,14077,1060,5765,4325,967,7484,1715,572
"Business As Usual",1079,16226,948,4201,4147,753,7227,1532,665
"Business As Usual",1157,13551,926,5125,5052,919,7057,1466,670
"Business As Usual",1357,16276,936,4862,4959,845,7345,1472,529
"Business As Usual",1212,12230,1003,4719,4500,918,6843,1347,750
"Business As Usual",1310,13671,1116,4427,4647,970,7119,1331,837
"Business As Usual",1409,15362,977,4055,3855,947,7344,1424,619
"Business As Usual",1585,15578,1026,4928,4691,781,9223,1568,749
"Business As Usual",1617,12247,972,4685,4833,850,7543,1603,830
"Business As Usual",1415,14099,899,5571,4735,682,8301,1659,752
"Business As Usual",1193,13484,1009,3522,5301,923,7902,1660,547
"Business As Usual",1230,13879,1012,3841,4836,725,6944,1768,649
"Business As Usual",898,17796,958,4372,4957,846,7823,1624,648
"Business As Usual",1206,13832,1011,4879,4900,703,8428,1396,791
"Business As Usual",1013,14760,1066,5093,5214,1013,8119,1828,706
"Business As Usual",1138,13164,941,4427,5330,1088,7343,1482,640
"Business As Usual",1491,14846,1053,4908,4505,1045,7055,1392,647
"Business As Usual",1066,14432,980,4361,4864,888,5998,1481,627
"Business As Usual",1614,14439,977,4587,4890,652,6911,1446,666
"Business As Usual",1451,14364,930,3854,4504,782,7488,1816,808
"Business As Usual",984,13829,923,4344,5387,678,6792,1632,761
"Business As Usual",1417,14076,1023,3871,4321,1115,8463,1530,724
"Business As Usual",1296,15826,1091,4333,4826,643,6425,1684,739
"Business As Usual",1411,17461,1063,4531,4463,767,8585,1548,637
"Business As Usual",1237,15923,1079,4789,4990,886,7898,1357,580
"Business As Usual",1125,14178,1031,4646,4366,916,7249,1693,689
"Business As Usual",1244,14132,1093,4380,3868,1099,6923,1525,916
"Business As Usual",1420,15939,879,4429,4652,959,6362,1804,792
"Business As Usual",1080,14740,1012,4047,4759,1050,8484,1589,595
"Business As Usual",1231,13906,988,4387,5066,1154,6708,1672,863
"Business As Usual",1158,15528,973,5171,4828,942,8080,1743,797
"Business As Usual",1557,15256,968,3799,4370,1098,7406,1420,658
"Business As Usual",1322,14449,1000,3984,4351,978,8768,1580,464
"Business As Usual",1210,15215,945,4624,4919,1006,6949,1576,909
"Business As Usual",1436,14036,1026,3812,4692,966,8244,1417,686
"Business As Usual",1287,14690,939,5408,4205,1048,6949,1571,663
"Business As Usual",1287,14292,988,4345,4445,942,7245,1771,610
"Business As Usual",1394,14476,959,4828,4656,1035,7169,1670,692
"Business As Usual",1108,13252,953,3785,4174,950,6268,1539,870
"Business As Usual",1251,11859,1062,4303,4465,857,6477,1442,591
"Business As Usual",1468,13305,1019,4527,4565,1155,8092,1457,681
"Business As Usual",1400,14510,1055,4824,5106,801,6895,1609,832
"Business As Usual",1388,15389,943,3968,4512,840,6132,1355,592
"Business As Usual",1158,14578,934,4462,4708,762,7240,1553,593
"Business As Usual",1420,15749,976,4917,4462,724,8367,1787,1012
"Business As Usual",1297,16545,1042,4175,4997,1175,8700,1341,823
"Business As Usual",1284,14670,1046,5251,4897,840,7879,1448,605
"Business As Usual",1220,13854,951,4109,4351,937,6682,1611,496
"Business As Usual",1200,13959,1025,4404,5132,909,7655,1425,779
"Business As Usual",1157,13083,998,4665,3969,1057,8085,1529,843
"Business As Usual",1520,14577,1032,4608,4163,913,6733,1396,731
"Business As Usual",1459,15184,1072,5413,4054,891,7788,1624,740
"Business As Usual",1162,13044,1077,4577,4500,926,7139,1236,709
"Business As Usual",1417,14585,968,4900,4446,1137,6630,1723,733
"Business As Usual",1433,13785,1060,4966,4492,889,8943,1317,746
"Business As Usual",1341,14730,939,4208,4086,952,8238,1684,600
"Business As Usual",1371,14450,939,3938,4241,911,7552,1775,717
"Business As Usual",1216,16055,998,4225,3836,954,7382,1772,760
"Business As Usual",1586,14846,1007,5044,3867,1187,6551,1651,552
"Business As Usual",1335,14225,991,4725,3481,682,6876,1527,627
"Business As Usual",1466,15199,1061,4055,4634,806,7721,1767,781
"Business As Usual",1337,11864,992,4667,4563,672,7342,1335,795
"Business As Usual",1287,14685,1031,3609,5214,785,7245,1376,675
"Business As Usual",1232,15048,967,3940,4347,792,6286,1545,612
"Business As Usual",1533,13436,974,4168,5606,1014,8587,1475,473
"Business As Usual",1029,14095,1004,4713,4668,816,8934,1757,726
"Business As Usual",1404,13501,910,5352,4314,974,6539,1815,909
"Business As Usual",1478,14907,1057,5088,4525,943,8184,1648,758
"Business As Usual",1565,14441,1086,4756,4764,712,7877,1872,731
"Business As Usual",1306,13847,918,4338,4854,850,7566,1608,634
"Business As Usual",1326,12269,1039,5218,4105,726,8270,1635,743
"Business As Usual",1538,15816,1082,4764,4243,955,6198,1474,834
"Business As Usual",1243,13842,1058,3878,5073,1082,6031,1495,737
"Business As Usual",1563,14863,929,4909,4826,762,8686,1511,593
"Business As Usual",1316,12572,910,4545,4386,1136,7430,1415,767
"Business As Usual",1364,13772,1035,3943,4390,747,7886,1622,696
"Business As Usual",1353,16074,889,3836,4615,891,6614,1479,643
"Business As Usual",1347,13704,1107,3925,4762,861,6486,1543,547
"Business As Usual",1247,13570,1011,4266,4461,1021,7399,1608,621
"Business As Usual",1158,14628,1071,3930,4590,769,7934,1451,520
"Business As Usual",1288,13907,958,4468,4424,822,6585,1638,537
"Business As Usual",1458,15115,1023,5324,5138,946,6854,1594,657
"Business As Usual",1140,12350,981,4732,5052,942,7478,1341,537
"Business As Usual",1081,13668,922,4854,4267,880,7329,1641,739
"Business As Usual",1264,14847,971,4127,4445,1026,5304,1772,656
"Business As Usual",1259,13793,1001,4521,4946,935,6782,1648,612
"Business As Usual",1028,15568,1001,5037,5017,979,8339,1697,636
"Business As Usual",1405,13226,1039,5189,4201,758,7913,1687,851
"Business As Usual",1003,17392,934,4248,4849,1025,8591,1478,518
"Business As Usual",1050,13216,1095,4714,3849,863,8182,1921,734
"Business As Usual",1223,14167,967,4700,4600,1180,7122,1863,657
"Business As Usual",1331,13988,948,5253,5041,982,7000,1394,707
"Business As Usual",876,16039,1057,3816,5022,794,8375,1679,635
"Business As Usual",1450,11550,1065,5213,4192,1067,8226,1294,618
"Business As Usual",1234,14731,1013,3946,4078,1003,8519,1686,696
"Business As Usual",1449,14034,1002,4342,4309,947,7132,1467,665
"Business As Usual",1479,16222,1016,4953,4164,717,7647,1679,541
"Business As Usual",1377,12431,974,3854,4422,789,5824,1555,587
"Business As Usual",1278,14317,1057,4037,4172,759,6350,1502,922
"Business As Usual",1334,12333,998,4837,4758,956,6464,1296,636
"Business As Usual",1115,14763,1020,4416,4721,896,7214,1810,488
"Business As Usual",1304,15130,1018,4812,4590,1130,6582,1730,840
"Business As Usual",1122,13865,1003,5579,4075,683,7630,1659,719
"Business As Usual",1120,16010,1011,4352,4421,860,6044,1907,710
"Business As Usual",1062,15292,1016,4100,4750,1057,7118,1715,751
"Business As Usual",1235,16272,966,4016,4159,840,7334,1187,578
"Business As Usual",1146,12438,1027,3732,4408,816,8048,1600,619
"Business As Usual",1134,18419,988,5071,4147,897,8807,1454,744
"Business As Usual",1193,14669,1000,4740,4207,929,8431,1559,923
"Business As Usual",1218,17439,979,4774,5157,731,7163,1554,601
"Business As Usual",1498,13383,1058,4709,4323,667,6333,1308,767
"Business As Usual",1205,16782,1046,3945,4674,1082,8628,1371,634
"Business As Usual",1232,15250,1040,4002,4228,819,6930,1459,762
"Business As Usual",1547,13593,1033,4153,4456,860,8198,1583,778
"Business As Usual",1439,14964,1031,4690,3689,981,6704,1765,745
"Business As Usual",1367,15284,934,4953,4397,879,6469,1810,817
"Business As Usual",1523,14422,1037,3966,4884,897,8694,1418,646
"Business As Usual",1213,15472,1029,4777,4174,863,7606,1673,692
"Business As Usual",1386,12899,907,4665,4614,924,7089,1526,855
"Business As Usual",1105,15691,1037,4097,4225,1094,8196,1629,924
"Business As Usual",1238,15874,1126,4292,4818,635,7517,1450,614
"Business As Usual",950,13624,1085,4230,4719,1080,7897,1518,621
"Business As Usual",1493,16488,1002,4739,4351,862,7162,1654,885
"Business As Usual",1269,13389,936,4016,5222,917,7734,1484,610
"Business As Usual",1294,15588,1084,5074,4963,951,7845,1804,537
"Business As Usual",1499,16230,1022,4744,4804,704,7573,1634,628
"Business As Usual",1286,14287,1040,4302,4394,1120,5672,1652,604
"Business As Usual",1689,15541,1111,4389,3419,907,6956,1576,765
"Stratified Societies",1314,15861,1087,4459,5526,1085,7515,1870,795
"Stratified Societies",1401,13434,1068,4070,4753,1076,7567,1622,599
"Stratified Societies",1193,14279,1104,4469,5056,1085,6847,1468,773
"Stratified Societies",1360,15696,1011,4209,6160,1079,7139,1752,619
"Stratified Societies",1397,17456,1062,4808,4748,1033,6757,2078,659
"Stratified Societies",1278,14137,988,5255,5291,1189,7481,1506,689
"Stratified Societies",1249,14717,1007,4179,5470,1031,7200,1509,742
"Stratified Societies",1384,15714,1105,4775,5431,1020,7143,1641,415
"Stratified Societies",1440,15929,1056,4171,5190,979,6966,1587,628
"Stratified Societies",1109,16026,1024,5422,5249,995,6667,1975,451
"Stratified Societies",1377,15592,1123,4910,4880,1017,7323,1791,697
"Stratified Societies",1015,14078,996,5231,4774,894,7205,1676,687
"Stratified Societies",1473,15329,1041,3928,5124,1001,6729,1510,611
"Stratified Societies",1258,15143,974,4481,5228,1069,6325,1726,640
"Stratified Societies",1244,16500,1054,4441,5236,931,7227,1550,775
"Stratified Societies",1317,16528,1106,3834,4756,1115,7904,1507,713
"Stratified Societies",1450,16135,1009,4429,5191,987,7250,1595,909
"Stratified Societies",1202,14569,974,4793,5211,790,7129,1478,556
"Stratified Societies",1402,15695,971,4091,4600,981,6725,1709,840
"Stratified Societies",1492,16174,1106,4517,5197,897,6970,1834,771
"Stratified Societies",1027,15147,1040,4336,4964,970,6630,1720,675
"Stratified Societies",1288,14245,1040,3844,5057,970,5491,1844,732
"Stratified Societies",1111,13073,1047,4907,5870,832,7426,1603,648
"Stratified Societies",980,13052,1045,5129,5448,1012,6377,1799,674
"Stratified Societies",1051,15611,995,4840,5223,909,6022,1708,664
"Stratified Societies",1262,15360,971,4241,5843,912,6473,1652,670
"Stratified Societies",1457,16879,1002,5649,4901,898,7698,1612,683
"Stratified Societies",1437,16423,1145,4808,4908,941,8026,1480,558
"Stratified Societies",885,14801,952,5156,4710,745,5663,1742,783
"Stratified Societies",1123,14640,1082,4939,4934,888,6616,1521,777
"Stratified Societies",1588,14272,1027,4721,5409,936,7125,1676,639
"Stratified Societies",1218,15476,1025,3982,5280,970,5903,2001,803
"Stratified Societies",1509,15159,988,4693,5573,1202,8240,1946,694
"Stratified Societies",1349,14195,1038,5405,4927,660,7731,1730,609
"Stratified Societies",1272,14242,1048,4731,4987,1021,6192,1507,805
"Stratified Societies",1493,14787,1000,4568,5234,870,6921,1518,668
"Stratified Societies",1335,12886,946,4615,5396,960,7297,1592,609
"Stratified Societies",1267,17125,1102,5507,4669,1167,6317,1771,789
"Stratified Societies",1434,13923,1096,4948,5275,971,7070,1891,643
"Stratified Societies",888,15677,1021,4131,5840,935,8624,1775,840
"Stratified Societies",1052,14669,985,4506,5562,766,6523,1611,561
"Stratified Societies",1408,15593,1109,4691,4732,876,8425,1797,619
"Stratified Societies",1528,14332,969,5125,5038,930,5643,1491,671
"Stratified Societies",1408,15056,1084,4350,5215,954,6276,1664,611
"Stratified Societies",1441,14365,1049,4125,4907,989,6556,1350,614
"Stratified Societies",1287,16548,1106,4015,5134,1025,7858,1722,811
"Stratified Societies",1239,15154,990,5298,5234,1139,7792,1944,692
"Stratified Societies",1048,14195,1126,4590,4826,951,7180,1639,831
"Stratified Societies",1509,15511,1051,3643,5242,1035,6237,1633,708
"Stratified Societies",889,16174,1040,4848,4410,941,6607,1790,811
"Stratified Societies",1560,15315,1126,4325,5351,1010,8099,1713,759
"Stratified Societies",1309,12791,1040,4847,4488,955,7103,1520,665
"Stratified Societies",1138,16903,1094,4543,4546,1132,7794,1583,604
"Stratified Societies",1517,14467,1080,4596,5011,945,6009,1601,547
"Stratified Societies",1309,14388,1188,4573,4264,1082,8214,1549,708
"Stratified Societies",1199,15643,985,4381,4891,918,6970,1597,674
"Stratified Societies",1249,14038,1041,4759,5441,986,7518,1828,783
"Stratified Societies",1164,15892,1038,4274,4974,1016,7637,1880,598
"Stratified Societies",1247,15841,1029,5417,5177,1020,6173,1688,748
"Stratified Societies",1414,15544,1023,4400,5267,889,7598,1394,730
"Stratified Societies",1120,16691,1035,5395,5311,1061,6990,1934,437
"Stratified Societies",1159,15217,1058,4294,5464,1021,6365,1872,726
"Stratified Societies",1176,12068,1035,4265,4876,889,6474,1915,819
"Stratified Societies",1331,14672,1055,4609,4550,1082,7872,1884,620
"Stratified Societies",1136,16766,1065,4310,5012,1190,6449,1871,540
"Stratified Societies",1145,17030,985,4177,4599,1075,6651,1668,766
"Stratified Societies",1275,14726,1049,4599,5592,1092,7770,1657,638
"Stratified Societies",1208,15951,1048,4747,4897,896,6489,1375,764
"Stratified Societies",1212,16030,1059,4326,5408,833,7088,1778,675
"Stratified Societies",948,14958,1080,5534,4891,962,8221,1584,610
"Stratified Societies",1255,16694,1066,4442,4502,837,7259,1569,822
"Stratified Societies",1379,16292,1051,4896,4722,906,7224,1737,619
"Stratified Societies",1382,15914,1052,4196,5404,970,7772,1793,675
"Stratified Societies",1179,14110,988,4016,5409,894,7032,1808,814
"Stratified Societies",1371,14862,1085,5340,5585,1039,7016,1781,687
"Stratified Societies",1440,16250,1118,4870,5277,1090,5356,1652,604
"Stratified Societies",1093,15100,1063,4295,4777,840,7546,1649,786
"Stratified Societies",1220,15515,1087,4957,5130,1090,6881,1442,771
"Stratified Societies",1428,12914,1069,4322,4875,1053,7882,1788,598
"Stratified Societies",1357,15244,1021,4362,5448,1088,7100,1889,648
"Stratified Societies",1129,15148,1015,4616,4934,1033,5993,1461,473
"Stratified Societies",1133,16056,1027,4284,4524,1004,7598,1928,741
"Stratified Societies",1319,16764,990,5391,5371,1071,7448,1729,566
"Stratified Societies",1156,12436,997,4327,5114,774,7577,1693,723
"Stratified Societies",1207,16734,1168,3459,5752,906,7139,1488,613
"Stratified Societies",1317,16816,963,4367,4960,863,6385,2002,731
"Stratified Societies",1323,15877,1001,5019,5117,963,6102,1443,805
"Stratified Societies",1302,15689,1020,4480,5475,1047,6954,1460,703
"Stratified Societies",991,15408,1113,4418,4856,910,5575,1711,571
"Stratified Societies",1339,15382,979,4974,4629,1131,8804,1744,766
"Stratified Societies",1419,15771,1026,3838,5218,1124,7425,1933,598
"Stratified Societies",1143,15476,1095,5363,5251,1101,5428,1164,829
"Stratified Societies",1241,16178,1059,4946,5671,981,6141,1597,646
"Stratified Societies",1073,15238,1016,4765,5145,950,7199,1680,582
"Stratified Societies",1219,12127,997,4662,5593,1041,6064,1523,492
"Stratified Societies",1112,15022,1138,4475,5304,776,6420,1500,752
"Stratified Societies",1368,16077,1118,3835,4892,833,5736,1674,733
"Stratified Societies",1434,14020,1025,5244,5424,1145,7202,1683,720
"Stratified Societies",1595,13223,1001,4572,5141,1063,7825,1627,862
"Stratified Societies",1125,15658,1003,4106,5448,854,6482,1669,638
"Stratified Societies",1184,17275,1050,4605,4691,1117,6292,1764,823
"Stratified Societies",1037,14246,1046,4275,5071,1130,7491,1546,760
"Stratified Societies",1607,15509,1053,4383,4691,833,7263,1747,792
"Stratified Societies",971,15504,1048,3509,4937,942,7653,1822,673
"Stratified Societies",1203,18308,1034,5472,5357,1114,6748,1853,634
"Stratified Societies",1362,15126,1028,4497,5040,948,6597,1501,396
"Stratified Societies",1167,15746,1001,3715,5907,1071,6612,1952,503
"Stratified Societies",1062,15031,1067,4701,5468,956,6229,1335,797
"Stratified Societies",1138,11971,954,4477,5468,1014,7383,1785,941
"Stratified Societies",1073,15001,1090,5234,5434,1025,8492,1644,460
"Stratified Societies",1628,17310,933,4173,4737,798,6875,1551,614
"Stratified Societies",1195,14894,1115,4286,5163,1165,6952,1774,648
"Stratified Societies",1126,14191,1036,5404,5598,971,7082,1566,664
"Stratified Societies",1227,14814,1034,4929,5688,579,6480,1900,650
"Stratified Societies",1146,16036,1043,5135,4778,855,7453,1853,824
"Stratified Societies",1438,14220,1025,5317,5427,802,8547,1636,626
"Stratified Societies",1561,15758,997,4383,5292,723,6351,1893,575
"Stratified Societies",1383,14925,1051,4548,5278,880,8224,1608,698
"Stratified Societies",1065,14065,1061,5540,5207,1258,7036,1768,812
"Stratified Societies",1215,13802,1003,3933,4927,953,7626,1573,680
"Stratified Societies",1595,16901,1019,4308,5248,938,6917,1622,678
"Stratified Societies",1227,17875,1051,4089,4699,1080,7049,1612,706
"Stratified Societies",1371,12976,1062,5315,5558,1083,7476,1629,758
"Stratified Societies",1112,13665,1054,4952,4714,1023,6607,1465,550
"Stratified Societies",1038,12008,1041,4846,4892,994,7538,1561,734
"Stratified Societies",962,16659,1133,4448,5727,1129,6486,1683,709
"Stratified Societies",1212,15204,988,4599,5036,959,7551,1609,689
"Stratified Societies",1140,14623,979,4631,5719,1028,7236,1980,711
"Stratified Societies",1328,15320,903,4164,4898,923,6043,1568,695
"Stratified Societies",1263,15834,1010,4213,5104,922,6546,1865,557
"Stratified Societies",1281,16507,1002,4593,4673,1245,6840,1806,514
"Stratified Societies",1566,13896,1033,4401,4422,876,6381,1680,730
"Stratified Societies",1409,15915,1125,4655,5227,1153,7138,1425,803
"Stratified Societies",1400,15524,1037,4146,4919,740,7408,1618,553
"Stratified Societies",1272,17476,1056,4473,5302,904,7907,1744,592
"Stratified Societies",1241,15246,1043,5276,4981,1291,7823,1731,569
"Stratified Societies",1160,12225,967,4536,4479,847,8084,1581,892
"Stratified Societies",1252,13849,1034,4775,4695,968,8010,1924,711
"Stratified Societies",996,16137,1045,4781,4950,921,7144,1654,716
"Stratified Societies",1175,14855,1009,3969,5158,1127,7096,1671,623
"Stratified Societies",1398,16280,1100,4657,5253,940,7684,1723,699
"Stratified Societies",1115,15623,1027,3559,5428,1200,7330,1677,642
"Stratified Societies",1214,14970,998,4028,4498,1041,7140,1812,521
"Stratified Societies",1262,15645,1088,4496,5291,891,7556,1696,791
"Stratified Societies",1088,15551,1035,5204,5547,1057,7651,1862,687
"Stratified Societies",1172,14910,1039,5123,5609,1063,7877,1874,741
"Stratified Societies",1240,15709,1081,5481,5077,902,7203,1580,800
"Stratified Societies",1209,16048,1037,4278,5207,962,5751,1781,944
"Stratified Societies",1124,14548,1023,4960,4775,844,6781,1965,633
"Stratified Societies",1366,14493,1025,4523,5326,924,7038,1722,725
"Stratified Societies",1135,13894,1091,4215,4936,1093,6798,1896,763
"Stratified Societies",1265,14676,985,5369,4784,1001,7430,1845,711
"Stratified Societies",1128,14304,1038,4812,5566,1137,6941,1786,656
"Stratified Societies",1227,12970,1030,4249,5020,1210,7968,2018,887
"Stratified Societies",1598,16105,1039,5355,5090,1016,7596,1551,639
"Stratified Societies",1191,13183,1000,4869,5465,1101,7495,1979,719
"Stratified Societies",1397,15686,1118,3884,5071,1247,5869,1815,738
"Stratified Societies",1443,14599,1025,4110,4430,1039,8457,1647,550
"Stratified Societies",1188,15265,1072,5030,5298,1052,8474,1552,700
"Stratified Societies",1410,15270,1007,4459,5532,1152,6548,1588,742
"Stratified Societies",1172,14028,1046,4486,4285,1051,6424,1696,604
"Stratified Societies",1125,13567,1019,4001,4425,792,7631,1381,858
"Stratified Societies",1175,14494,998,3690,5158,1052,8749,1746,674
"Stratified Societies",1373,13722,1166,4263,4991,874,7812,1435,731
"Stratified Societies",1418,16003,1107,4981,4868,1172,7776,1573,790
"Stratified Societies",1157,14403,1100,4853,4693,1044,7593,1614,736
"Stratified Societies",1132,17222,1031,5251,5347,940,6270,1755,768
"Stratified Societies",1377,16555,1044,4788,4746,797,8726,1585,651
"Stratified Societies",1308,16413,1033,5182,4789,958,7889,1984,816
"Stratified Societies",1449,15830,1018,4615,4948,840,6904,1834,577
"Stratified Societies",1077,13447,1064,4273,4550,778,6663,1494,569
"Stratified Societies",1486,11107,1033,4570,5611,962,6254,1575,627
"Stratified Societies",1328,14354,1015,4971,5143,991,7338,1909,592
"Stratified Societies",1245,14210,1196,4846,5092,1066,8803,2004,649
"Stratified Societies",1298,16118,1072,4040,5417,1233,6825,1560,617
"Stratified Societies",1434,14249,1030,4309,4892,1049,7212,1466,767
"Stratified Societies",1133,14297,1096,3658,5026,988,6460,1281,572
"Stratified Societies",1140,16085,1104,5181,4411,1012,8256,1521,948
"Stratified Societies",1272,15563,1122,4699,5082,1187,5811,1995,743
"Stratified Societies",1572,15328,1073,5509,5255,997,8222,2054,529
"Stratified Societies",1437,14332,1001,5693,5531,1123,7209,1527,747
"Stratified Societies",1180,14739,1112,4429,5651,1166,7603,1766,568
"Stratified Societies",1298,15402,998,3919,4770,834,7884,1512,557
"Stratified Societies",1212,13596,969,4163,4738,1094,6716,1651,701
"Stratified Societies",1030,15936,1108,4812,4876,971,7165,1929,833
"Stratified Societies",1519,14257,972,4401,5026,969,7447,1603,615
"Stratified Societies",1295,14543,1146,3805,4856,1003,7186,1422,783
"Stratified Societies",1372,16375,1092,4746,4926,1022,5394,1782,617
"Stratified Societies",1171,13499,1051,4703,5532,996,6864,1545,730
"Stratified Societies",1249,14954,1097,5376,4834,871,7315,1677,613
"Stratified Societies",1246,16150,996,3874,4746,1164,8441,1464,752
"Stratified Societies",1222,16649,1184,4102,4670,1055,8346,1761,590
"Stratified Societies",1415,13813,1000,4191,5507,804,7063,1662,526
"Stratified Societies",1344,15676,1036,4216,4769,1102,6643,1708,699
"Stratified Societies",1256,14812,1076,4922,4644,898,7341,1725,821
"Stratified Societies",1265,13722,1129,4311,4607,893,6726,1430,656
"Stratified Societies",1328,15651,1094,4649,4710,953,6517,1610,731
"Stratified Societies",1379,13096,1048,5168,5420,980,6270,1898,758
"Stratified Societies",1271,15310,993,4167,5328,1055,6087,1756,617
"Stratified Societies",1314,17107,1100,4673,5636,1113,5594,1650,583
"Stratified Societies",1075,15031,1058,5068,5163,1219,8034,1748,691
"Stratified Societies",1355,13022,1138,4276,4841,1040,6199,1785,720
"Stratified Societies",1233,13607,1082,4225,4366,797,7454,1489,623
"Stratified Societies",1082,14521,1005,4212,5535,911,7001,1690,553
"Stratified Societies",1250,15803,983,5073,5270,1033,6498,1605,812
"Stratified Societies",1102,14213,963,4989,5068,859,6626,1842,643
"Stratified Societies",1453,14588,974,4402,5353,1083,7916,1889,621
"Stratified Societies",1169,12090,1102,4210,5097,1264,6724,1889,677
"Stratified Societies",1214,13875,1081,4579,4712,1121,6063,1570,524
"Stratified Societies",1195,13757,1045,4837,5148,922,6632,1824,726
"Stratified Societies",1352,13444,1116,4918,5669,1054,5987,1689,502
"Stratified Societies",1052,16205,1047,5375,5184,912,7796,1719,628
"Stratified Societies",1373,13251,1094,4157,4753,1171,7891,1756,613
"Stratified Societies",1008,14492,1124,5052,5001,1057,5956,1685,590
"Stratified Societies",1137,15146,1069,4782,5227,1005,6824,1817,621
"Stratified Societies",1176,15478,979,4537,5817,774,7307,1484,729
"Stratified Societies",1249,15214,1066,4620,4725,753,6428,1622,719
"Stratified Societies",1532,15310,1000,5184,5483,1054,7997,1475,577
"Stratified Societies",1252,13498,1151,4772,5113,1071,6626,1416,882
"Stratified Societies",1409,15375,1048,4594,4937,1176,7351,1718,591
"Stratified Societies",1197,16446,964,5184,4961,842,7644,1303,640
"Stratified Societies",1067,16234,1129,4990,4888,977,6701,1867,559
"Stratified Societies",1288,14397,1076,4866,4862,895,6239,1597,821
"Stratified Societies",1225,16312,1119,4265,4766,1077,8797,1765,747
"Stratified Societies",1364,15146,1085,4991,4906,928,6360,1514,697
"Stratified Societies",1037,15326,1020,5365,4335,813,8078,1678,641
"Stratified Societies",1190,17397,1099,3882,4368,949,5891,1707,668
"Stratified Societies",1388,13225,1017,4006,4867,1145,6474,1724,597
"Stratified Societies",1288,15104,1031,5145,5033,975,7520,1293,725
"Stratified Societies",1126,15944,1086,4179,4799,987,5152,1631,576
"Stratified Societies",1244,16353,1094,4417,5011,895,5749,1490,649
"Stratified Societies",1202,17048,1067,5159,4229,755,6984,1981,703
"Stratified Societies",1435,14146,1090,4513,5108,665,6958,1579,613
"Stratified Societies",1483,15433,974,4503,4233,866,6736,2081,828
"Stratified Societies",1118,16103,1069,5081,4364,1127,7802,1630,688
"Stratified Societies",1249,14033,1046,5200,5169,1172,7931,1614,825
"Stratified Societies",1149,15184,1053,4083,5481,975,7422,2012,764
"Stratified Societies",1275,14516,1016,3943,5094,1112,5504,1572,791
"Stratified Societies",1228,14840,1021,3902,5580,787,7404,1640,564
"Stratified Societies",1302,16287,1070,4666,5371,1086,5916,1737,756
"Stratified Societies",1264,15098,1119,4724,5363,779,6931,1772,633
"Stratified Societies",1592,14398,996,4742,4657,924,6879,1787,645
"Stratified Societies",1336,14956,1031,4699,4910,741,7321,1691,591
"Stratified Societies",1342,16758,1143,4520,4904,850,8214,2065,819
"Stratified Societies",1146,15014,960,4193,4571,926,7005,1864,548
"Stratified Societies",1084,13493,1048,5742,5141,995,7503,1837,676
"Stratified Societies",1078,16020,1063,4573,4712,1108,7106,1576,667
"Stratified Societies",1107,15486,1086,4425,5170,985,7142,1547,819
"Stratified Societies",1198,13284,1082,4307,5365,1014,6989,1693,691
"Stratified Societies",1382,14078,1015,4844,5454,799,6473,1678,516
"Stratified Societies",1169,17283,1030,4620,5374,1085,6829,1537,586
"Stratified Societies",1067,13972,1031,4515,5352,1022,6429,1878,809
"Stratified Societies",1220,12689,1142,4317,5205,966,8052,1738,730
"Stratified Societies",1329,15788,1002,4411,4849,980,7741,1605,681
"Stratified Societies",1106,16714,971,4131,5149,882,7986,1718,605
"Stratified Societies",1468,13500,1131,4538,4940,846,7504,1615,839
"Stratified Societies",1257,15168,1047,4216,4949,964,6230,1768,542
"Stratified Societies",1010,14170,1062,4365,5348,911,8603,1949,598
"Stratified Societies",1248,14789,1045,4716,5034,913,6355,1667,756
"Stratified Societies",1177,16819,1023,4793,4589,946,6499,1459,965
"Stratified Societies",1288,12832,989,4642,5116,1059,7153,1567,617
